shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
203_0_1_shp,41.15919,-8.62884,377
203_0_1_shp,41.15942,-8.62877,378
203_0_1_shp,41.15972,-8.62869,379
203_0_1_shp,41.15998,-8.62862,380
203_0_1_shp,41.16017,-8.62858,381
203_0_1_shp,41.16031,-8.62854,382
203_0_1_shp,41.16043,-8.62851,383
203_0_1_shp,41.16052,-8.62847,384
203_0_1_shp,41.16073,-8.62837,385
203_0_1_shp,41.16075,-8.62837,386
203_0_1_shp,41.16076,-8.62846,387
203_0_1_shp,41.1608,-8.62874,388
203_0_1_shp,41.16085,-8.62903,389
203_0_1_shp,41.16085,-8.62916,390
203_0_1_shp,41.16096,-8.62914,391
203_0_1_shp,41.16098,-8.6293,392
203_0_1_shp,41.16098,-8.62933,393
203_0_1_shp,41.16099,-8.62937,394
203_0_1_shp,41.161,-8.6294,395
203_0_1_shp,41.16102,-8.62942,396
203_0_1_shp,41.16105,-8.62945,397
203_0_1_shp,41.16144,-8.6298,398
203_0_1_shp,41.16153,-8.62989,399
203_0_1_shp,41.16163,-8.62997,400
203_0_1_shp,41.16159,-8.63006,401
203_0_1_shp,41.16151,-8.63019,402
203_0_1_shp,41.16146,-8.6303,403
203_0_1_shp,41.16118,-8.63003,404
203_1_1_shp,41.16118,-8.63003,1
203_1_1_shp,41.16106,-8.62991,2
203_1_1_shp,41.161,-8.62984,3
203_1_1_shp,41.16097,-8.62977,4
203_1_1_shp,41.16095,-8.62971,5
203_1_1_shp,41.16093,-8.62966,6
203_1_1_shp,41.16093,-8.6296,7
203_1_1_shp,41.16093,-8.62956,8
203_1_1_shp,41.16093,-8.6295,9
203_1_1_shp,41.16092,-8.62946,10
203_1_1_shp,41.16086,-8.62924,11
203_1_1_shp,41.16085,-8.62916,12
203_1_1_shp,41.16085,-8.62903,13
203_1_1_shp,41.1608,-8.62874,14
203_1_1_shp,41.16076,-8.62846,15
203_1_1_shp,41.16075,-8.62837,16
203_1_1_shp,41.15887,-8.62894,17
203_1_1_shp,41.15888,-8.62904,18
203_1_1_shp,41.15888,-8.6291,19
203_1_1_shp,41.15888,-8.62913,20
203_1_1_shp,41.15887,-8.62922,21
203_1_1_shp,41.15887,-8.62925,22
203_1_1_shp,41.15886,-8.62933,23
203_1_1_shp,41.15885,-8.6294,24
203_1_1_shp,41.15883,-8.62948,25
203_1_1_shp,41.15881,-8.62955,26
203_1_1_shp,41.15879,-8.62962,27
203_1_1_shp,41.15876,-8.62968,28
203_1_1_shp,41.15875,-8.62972,29
203_1_1_shp,41.15873,-8.62976,30
203_1_1_shp,41.1587,-8.62982,31
203_1_1_shp,41.15868,-8.62986,32
203_1_1_shp,41.15863,-8.62994,33
203_1_1_shp,41.15859,-8.62999,34
203_1_1_shp,41.15855,-8.63004,35
203_1_1_shp,41.1585,-8.63008,36
203_1_1_shp,41.15849,-8.63009,37
203_1_1_shp,41.15845,-8.63012,38
203_1_1_shp,41.15843,-8.63014,39
203_1_1_shp,41.15841,-8.63015,40
203_1_1_shp,41.15835,-8.63018,41
203_1_1_shp,41.1583,-8.63021,42
203_1_1_shp,41.15825,-8.63023,43
203_1_1_shp,41.15819,-8.63025,44
203_1_1_shp,41.15814,-8.63027,45
203_1_1_shp,41.15812,-8.63027,46
203_1_1_shp,41.15808,-8.63029,47
203_1_1_shp,41.15803,-8.63031,48
203_1_1_shp,41.158,-8.63031,49
203_1_1_shp,41.15797,-8.63032,50
203_1_1_shp,41.15791,-8.63033,51
203_1_1_shp,41.15786,-8.63033,52
203_1_1_shp,41.15783,-8.63033,53
203_1_1_shp,41.1578,-8.63033,54
203_1_1_shp,41.15775,-8.63033,55
203_1_1_shp,41.15771,-8.63032,56
203_1_1_shp,41.15764,-8.6303,57
203_1_1_shp,41.1576,-8.63029,58
203_1_1_shp,41.15757,-8.63027,59
203_1_1_shp,41.15755,-8.63026,60
203_1_1_shp,41.15752,-8.63025,61
203_1_1_shp,41.15749,-8.63023,62
203_1_1_shp,41.15743,-8.63019,63
203_1_1_shp,41.15742,-8.63018,64
203_1_1_shp,41.15738,-8.63015,65
203_1_1_shp,41.15736,-8.63013,66
203_1_1_shp,41.15734,-8.63011,67
203_1_1_shp,41.15729,-8.63006,68
203_1_1_shp,41.15725,-8.63,69
203_1_1_shp,41.15721,-8.62995,70
203_1_1_shp,41.15717,-8.62989,71
203_1_1_shp,41.15714,-8.62983,72
203_1_1_shp,41.15711,-8.62976,73
203_1_1_shp,41.15708,-8.6297,74
203_1_1_shp,41.15707,-8.62967,75
203_1_1_shp,41.15705,-8.62963,76
203_1_1_shp,41.15703,-8.62956,77
203_1_1_shp,41.15703,-8.62954,78
203_1_1_shp,41.15701,-8.62948,79
203_1_1_shp,41.15701,-8.62946,80
203_1_1_shp,41.157,-8.62941,81
203_1_1_shp,41.15699,-8.62937,82
203_1_1_shp,41.15698,-8.62934,83
203_1_1_shp,41.15698,-8.62926,84
203_1_1_shp,41.15698,-8.62922,85
203_1_1_shp,41.15698,-8.62918,86
203_1_1_shp,41.15698,-8.62911,87
203_1_1_shp,41.15698,-8.62903,88
203_1_1_shp,41.15699,-8.62901,89
203_1_1_shp,41.15699,-8.62895,90
203_1_1_shp,41.157,-8.62888,91
203_1_1_shp,41.15701,-8.62882,92
203_1_1_shp,41.15704,-8.62872,93
203_1_1_shp,41.15708,-8.62862,94
203_1_1_shp,41.15711,-8.62854,95
203_1_1_shp,41.15713,-8.62849,96
203_1_1_shp,41.15717,-8.62843,97
203_1_1_shp,41.15721,-8.62838,98
203_1_1_shp,41.15725,-8.62832,99
203_1_1_shp,41.15729,-8.62827,100
203_1_1_shp,41.15734,-8.62823,101
203_1_1_shp,41.15738,-8.62818,102
203_1_1_shp,41.15744,-8.62815,103
203_1_1_shp,41.15749,-8.62811,104
203_1_1_shp,41.15754,-8.62808,105
203_1_1_shp,41.1576,-8.62805,106
203_1_1_shp,41.15765,-8.62803,107
203_1_1_shp,41.15771,-8.62801,108
203_1_1_shp,41.15774,-8.62801,109
203_1_1_shp,41.15776,-8.628,110
203_1_1_shp,41.1578,-8.62798,111
203_1_1_shp,41.15784,-8.62797,112
203_1_1_shp,41.15787,-8.62796,113
203_1_1_shp,41.15793,-8.62796,114
203_1_1_shp,41.15799,-8.62795,115
203_1_1_shp,41.15804,-8.62795,116
203_1_1_shp,41.1581,-8.62796,117
203_1_1_shp,41.15811,-8.62796,118
203_1_1_shp,41.15817,-8.62797,119
203_1_1_shp,41.15822,-8.62799,120
203_1_1_shp,41.15828,-8.62801,121
203_1_1_shp,41.15833,-8.62803,122
203_1_1_shp,41.15835,-8.62805,123
203_1_1_shp,41.15839,-8.62808,124
203_1_1_shp,41.15841,-8.62809,125
203_1_1_shp,41.15844,-8.62811,126
203_1_1_shp,41.15846,-8.62813,127
203_1_1_shp,41.15848,-8.62815,128
203_1_1_shp,41.15851,-8.62818,129
203_1_1_shp,41.15856,-8.62823,130
203_1_1_shp,41.1586,-8.62828,131
203_1_1_shp,41.15864,-8.62833,132
203_1_1_shp,41.15868,-8.62839,133
203_1_1_shp,41.15869,-8.62841,134
203_1_1_shp,41.15871,-8.62845,135
203_1_1_shp,41.15875,-8.62852,136
203_1_1_shp,41.15877,-8.62858,137
203_1_1_shp,41.1588,-8.62865,138
203_1_1_shp,41.15882,-8.62872,139
203_1_1_shp,41.15884,-8.6288,140
203_1_1_shp,41.15886,-8.62887,141
203_1_1_shp,41.15887,-8.62892,142
203_1_1_shp,41.15904,-8.62888,143
203_1_1_shp,41.15919,-8.62884,144
203_1_1_shp,41.15942,-8.62877,145
203_1_1_shp,41.15972,-8.62869,146
203_1_1_shp,41.1598,-8.62867,147
203_1_1_shp,41.15998,-8.62862,148
203_1_1_shp,41.16017,-8.62858,149
203_1_1_shp,41.16031,-8.62854,150
203_1_1_shp,41.16043,-8.62851,151
203_1_1_shp,41.16052,-8.62847,152
